image,title,artist,year,movement
https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Pablo_Picasso%2C_1917-18%2C_Portrait_d%27Olga_dans_un_fauteuil_%28Olga_in_an_Armchair%29%2C_oil_on_canvas%2C_130_x_88.8_cm%2C_Mus%C3%A9e_Picasso%2C_Paris%2C_France.jpg/1280px-Pablo_Picasso%2C_1917-18%2C_Portrait_d%27Olga_dans_un_fauteuil_%28Olga_in_an_Armchair%29%2C_oil_on_canvas%2C_130_x_88.8_cm%2C_Mus%C3%A9e_Picasso%2C_Paris%2C_France.jpg,portrait d'olga dans un fauteuil,pablo picasso,1918,neoclassicism / surrealism
https://upload.wikimedia.org/wikipedia/en/6/6a/Pablo_Picasso%2C_1921%2C_Nu_assis_s%27essuyant_le_pied_%28Seated_Nude_Drying_her_Foot%29%2C_pastel%2C_66_x_50.8_cm%2C_Berggruen_Museum.jpg,nu assis s'essuyant le pied,pablo picasso,1921,neoclassicism / surrealism
https://upload.wikimedia.org/wikipedia/en/a/a3/Pablo_Picasso%2C_1919%2C_Sleeping_Peasants%2C_gouache%2C_watercolor_and_pencil_on_paper%2C_31.1_x_48.9_cm%2C_Museum_of_Modern_Art%2C_New_York.jpg,sleeping peasants,pablo picasso,1919,neoclassicism / surrealism
https://www.pablopicasso.org/assets/img/paintings/guernica3.jpg,guernica,pablo picasso,1937,cubism
https://upload.wikimedia.org/wikipedia/en/6/6a/The_Charnel_House_by_Picasso.jpg,the charnel house,pablo picasso,1944-1945,cubism
https://upload.wikimedia.org/wikipedia/commons/6/66/Henri_Matisse%2C_1909%2C_La_danse_%28I%29%2C_Museum_of_Modern_Art.jpg,dance i,henri matisse,1909,fauvism
https://upload.wikimedia.org/wikipedia/commons/3/3c/Botticelli-primavera.jpg,primavera,sandro botticelli,1482,early renaissance
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/El_Tres_de_Mayo%2C_by_Francisco_de_Goya%2C_from_Prado_thin_black_margin.jpg/3840px-El_Tres_de_Mayo%2C_by_Francisco_de_Goya%2C_from_Prado_thin_black_margin.jpg,the third of may 1808,francisco de goya,1814,romanticism
https://upload.wikimedia.org/wikipedia/commons/8/83/The_Swing_%28P430%29.jpg,the swing,jean-honore fragonard,1767,rococo
"https://api.nga.gov/iiif/d74e4c52-044a-48e7-a549-1f2d95d311b4/full/!800,800/0/default.jpg",peaceable kingdom,edward hicks,1834,american folk
https://upload.wikimedia.org/wikipedia/commons/9/95/Raphael_missing.jpg,portrait of a young man,raphael,1514,high renaissance
https://upload.wikimedia.org/wikipedia/commons/a/a8/Nighthawks_by_Edward_Hopper_1942.jpg,nighthawks,edward hopper,1942,american realism / social realism / urban realism / existentialism
https://upload.wikimedia.org/wikipedia/commons/f/f3/Paolo_Uccello_Heiliger_Georg_und_der_Drachen_1_470.jpg,saint george and the dragon,paolo uccello,1470,early renaissance
https://upload.wikimedia.org/wikipedia/commons/b/b9/Caspar_David_Friedrich_-_Wanderer_above_the_sea_of_fog.jpg,wanderer above the sea of fog,casper david friedrich,1818,romanticism
https://upload.wikimedia.org/wikipedia/commons/0/06/La_Boh%C3%A9mienne_endormie.jpg,the sleeping gypsy,henri rousseau,1897,primitivism
https://images.metmuseum.org/CRDImages/ep/original/DP169568.jpg,"the grand canal, venice",jmw turner,1835,romanticism
https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg/1280px-Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg,american gothic,grant wood,1930,social realism / american modernism
https://upload.wikimedia.org/wikipedia/commons/d/d8/Mary_Cassatt_-_The_Boating_Party_-_Google_Art_Project.jpg,the boating party,mary cassatt,1894,impressionism / post-impressionism
https://upload.wikimedia.org/wikipedia/commons/b/b1/Van-willem-vincent-gogh-die-kartoffelesser-03850.jpg,the potato eaters,vincent van gogh,1885,realism / naturalism
https://upload.wikimedia.org/wikipedia/commons/0/01/Caspar_David_Friedrich_-_Mondaufgang_am_Meer_-_Google_Art_Project.jpg,moonrise over the sea,casper david friedrich,1822,romanticism
https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/The_Arnolfini_portrait_%281434%29.jpg/1280px-The_Arnolfini_portrait_%281434%29.jpg,the arnolfini portrait,jan van eyck,1434,early netherlandish / northern renaissance
https://upload.wikimedia.org/wikipedia/en/b/b9/MagrittePipe.jpg,the treachery of images,rene magritte,1929,surrealism
https://upload.wikimedia.org/wikipedia/commons/c/c8/Klimt_-_The_Kiss.jpg,the kiss,gustav klimt,1908,symbolism / art nouveau
https://www.diegorivera.org/assets/img/famous/flower-carrier.jpg,the flower carrier,diego rivera,1935,social realism / muralism
https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Utro_v_sosnovom_lesu.jpg/3840px-Utro_v_sosnovom_lesu.jpg,morning in a pine forest,ivan shishkin / konstantin stavitsky,1889,realism
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Gentile_da_Fabriano_-_Adorazione_dei_Magi_-_Google_Art_ProjectFXD.jpg/960px-Gentile_da_Fabriano_-_Adorazione_dei_Magi_-_Google_Art_ProjectFXD.jpg,adoration of the magi,gentile de fabriano,1423,international gothic
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/1602-3_Caravaggio%2CSupper_at_Emmaus_National_Gallery%2C_London.jpg/960px-1602-3_Caravaggio%2CSupper_at_Emmaus_National_Gallery%2C_London.jpg,supper at emmaus,caravaggio,1601,baroque
https://upload.wikimedia.org/wikipedia/commons/8/8d/Flaming_June%2C_by_Frederic_Lord_Leighton_%281830-1896%29.jpg,flaming june,frederic leighton,1895,aestheticism / classical realism
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg/960px-Van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg,the starry night,vincent van gogh,1889,post-impressionism
https://collectionapi.metmuseum.org/api/collection/v1/iiif/45434/134438/main-image,the great wave off kanagawa,katsushika hokusai,1831,ukiyo-e
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg/1280px-Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg,mona lisa,leonardo da vinci,1503,high renaissance
https://upload.wikimedia.org/wikipedia/commons/8/80/Cottonexchange1873-Degas.jpg,a cotton office in new orleans,edgar degas,1873,impressionism / realism
https://smarthistory.org/wp-content/uploads/2019/07/HolbeinAmbassadors.jpg,the ambassadors,hans holbein the younger,1533,northern renaissance
https://upload.wikimedia.org/wikipedia/commons/f/f9/Albrecht_D%C3%BCrer_-_Feast_of_Rose_Garlands_-_Google_Art_Project.jpg,feast of the rosary,albrecht durer,1506,northern renaissance
https://upload.wikimedia.org/wikipedia/commons/6/69/Les_Joueurs_de_cartes%2C_par_Paul_C%C3%A9zanne.jpg,the card players,paul cezanne,1895,post-impressionism
https://www.fridakahlo.org/assets/img/paintings/the-two-fridas.jpg,the two fridas,frida kahlo,1939,surrealism / mexicanidad
https://www.arthistoryproject.com/site/assets/files/9880/hieronymus-bosch-the-garden-of-earthly-delights-1504-obelisk-art-history.webp,the garden of earthly delights,hieronymus bosch,1490-1510,northern renaissance
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Caravaggio_-_I_Musici.jpg/960px-Caravaggio_-_I_Musici.jpg,musicians,caravaggio,1595,baroque
https://www.jackson-pollock.org/assets/img/paintings/number-5.jpg,"no. 5, 1948",jackson pollock,1948,abstract expressionism
https://upload.wikimedia.org/wikipedia/commons/e/e0/Paolo_Veronese_008.jpg,the wedding at cana,paolo veronese,1563,mannerism
https://upload.wikimedia.org/wikipedia/commons/2/2f/Jan_Breughel_%28II%29_-_Paradise_-_WGA03607.jpg,paradise,jan brueghel the younger,1650,baroque
https://upload.wikimedia.org/wikipedia/commons/2/2f/Jan_Breughel_%28II%29_-_Paradise_-_WGA03607.jpg,charles i in three positions,anthony van dyck,1636,baroque
https://upload.wikimedia.org/wikipedia/commons/b/be/Titian_Bacchus_and_Ariadne.jpg,bacchus and ariadne,titian,1523,high renaissance
https://upload.wikimedia.org/wikipedia/commons/f/fd/John_William_Waterhouse_-_The_Lady_of_Shalott_-_Google_Art_Project_edit.jpg,the lady of shalott,john william waterhouse,1888,pre-raphaelite / romanticism
https://upload.wikimedia.org/wikipedia/commons/9/96/Winslow_Homer_-_Breezing_Up_%28A_Fair_Wind%29_-_Google_Art_Project.jpg,breezing up,winslow homer,1876,american realism
https://www.mcgawgraphics.com/cdn/shop/products/S1615_1024x1024.jpg?v=1663173034,sunday afternoon on the island of la grande jatte,georges seurat,1886,pointillism
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Jean-Fran%C3%A7ois_Millet_-_Gleaners_-_Google_Art_Project_2.jpg/960px-Jean-Fran%C3%A7ois_Millet_-_Gleaners_-_Google_Art_Project_2.jpg,the gleaners,jean-francois millet,1857,realism
https://upload.wikimedia.org/wikipedia/commons/2/2a/Femmes_d%27Alger_dans_leur_appartement%2C_Eug%C3%A8ne_Delacroix_-_Mus%C3%A9e_du_Louvre_Peintures_INV_3824_-_Q1212737.jpg,women of algiers in their apartment,eugene delacroix,1834,romanticism
https://miro.medium.com/v2/resize:fit:2000/1*aL7u4f6CPc_Zc-o9Y5rusQ.jpeg,christina's world,andrew wyeth,1948,american realism
https://upload.wikimedia.org/wikipedia/commons/a/ae/Ilia_Efimovich_Repin_%281844-1930%29_-_Volga_Boatmen_%281870-1873%29.jpg,barge haulers on the volga,ilya repin,1873,realism
https://upload.wikimedia.org/wikipedia/commons/8/8e/Caravaggio_%28Michelangelo_Merisi%29_-_The_Cardsharps_-_Google_Art_Project.jpg,the cardsharps,caravaggio,1594,baroque
https://upload.wikimedia.org/wikipedia/commons/5/59/Monet_-_Impression%2C_Sunrise.jpg,"impression, sunrise",claude monet,1872,impressionism
https://upload.wikimedia.org/wikipedia/commons/1/17/Luna_damas-romanas.jpg,las damas romanas,juan luna,1882,academicism / neoclassicism
https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Carl_Bloch_-_In_a_Roman_Osteria_-_Google_Art_Project.jpg/1920px-Carl_Bloch_-_In_a_Roman_Osteria_-_Google_Art_Project.jpg,in a roman osteria,carl bloch,1866,academicism / romanticism
